Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.52  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Pulse,Off
TempUnit,C
Sampling interval,1s
Total data points,145       
Trigger,0         
Start time,2023-08-11,15:57:19
End time,2023-08-11,15:59:44
Trigger time,2023-08-11,15:57:20
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",DC,5V,,Off,+14.43,-18.40,[GPM],28,5,6,0
CH2,"ACH 2","M",TEMP,TC_K,2000degC,Off,+2000.0,-200.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+2000.0,-200.0,[degC],9,22,8,0
CH4," CH 4","M",DC,5V,,Off,+15.000,-22.500,[PSI],21,0,21,0
CH5," CH 5","M",DC,5V,,Off,+15.000,-22.500,[PSI],28,16,2,0
CH6," CH 6","M",DC,5V,,Off,+7.499,-11.250,[PSI],5,23,30,0
CH7," CH 7","M",DC,5V,,Off,+7.500,-11.250,[PSI],30,23,1,0
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line Width
Pulse1,INST,L,,500000,0,[C],28,5,6,0
Pulse2,INST,L,,500000,0,[C],0,13,23,0
Pulse3,INST,L,,500000,0,[C],9,22,8,0
Pulse4,INST,L,,500000,0,[C],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Pulse1,Pulse2,Pulse3,Pulse4,Alarm1-10,AlarmLogic/Pulse,AlarmOut
NO.,Time,ms,"GPM","°C","°C","PSI","PSI","PSI","PSI","C","C","C","C","A1234567890","ALP1-4","AO1234"
         1,2023/08/11 15:57:20,  0,+  0.03,+  26.9,+  27.0,- 0.718,- 0.259,- 0.496,- 0.623,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
         2,2023/08/11 15:57:21,  0,+  0.03,+  26.9,+  27.0,- 0.726,- 0.253,- 0.495,- 0.622,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
         3,2023/08/11 15:57:22,  0,+  0.03,+  26.9,+  27.0,- 0.718,- 0.272,- 0.495,- 0.622,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
         4,2023/08/11 15:57:23,  0,+  0.03,+  26.9,+  27.0,- 0.718,- 0.261,- 0.494,- 0.621,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
         5,2023/08/11 15:57:24,  0,+  0.03,+  26.9,+  27.0,- 0.722,- 0.251,- 0.494,- 0.622,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
         6,2023/08/11 15:57:25,  0,+  0.03,+  26.9,+  27.0,- 0.726,- 0.264,- 0.493,- 0.622,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
         7,2023/08/11 15:57:26,  0,+  0.03,+  26.9,+  27.0,- 0.722,- 0.257,- 0.495,- 0.623,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
         8,2023/08/11 15:57:27,  0,+  0.03,+  26.9,+  27.0,- 0.720,- 0.259,- 0.494,- 0.623,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
         9,2023/08/11 15:57:28,  0,+  0.03,+  26.9,+  27.0,- 0.714,- 0.253,- 0.494,- 0.623,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        10,2023/08/11 15:57:29,  0,+  0.03,+  26.9,+  27.0,- 0.720,- 0.251,- 0.462,- 0.617,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        11,2023/08/11 15:57:30,  0,+  0.03,+  26.9,+  27.0,- 0.632,- 0.257,- 0.410,- 0.622,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        12,2023/08/11 15:57:31,  0,+  0.03,+  26.9,+  27.0,- 0.578,- 0.261,- 0.349,- 0.621,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        13,2023/08/11 15:57:32,  0,+  0.03,+  26.9,+  27.0,- 0.506,- 0.257,- 0.144,- 0.593,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        14,2023/08/11 15:57:33,  0,+  0.03,+  26.8,+  27.0,- 0.422,- 0.244,- 0.198,- 0.613,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        15,2023/08/11 15:57:34,  0,+  0.03,+  26.8,+  27.0,- 0.326,- 0.257,- 0.095,- 0.621,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        16,2023/08/11 15:57:35,  0,+  0.03,+  26.8,+  27.0,- 0.240,- 0.255,- 0.013,- 0.608,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        17,2023/08/11 15:57:36,  0,+  0.03,+  26.8,+  27.0,- 0.158,- 0.251,+ 0.117,- 0.604,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        18,2023/08/11 15:57:37,  0,+  0.03,+  26.8,+  27.0,+ 0.039,- 0.255,+ 0.289,- 0.615,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        19,2023/08/11 15:57:38,  0,+  0.03,+  26.8,+  27.0,+ 0.146,- 0.240,+ 0.415,- 0.591,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        20,2023/08/11 15:57:39,  0,+  0.03,+  26.8,+  27.0,+ 0.276,- 0.257,+ 0.561,- 0.595,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        21,2023/08/11 15:57:40,  0,+  0.03,+  26.8,+  27.0,+ 0.512,- 0.236,+ 0.770,- 0.603,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        22,2023/08/11 15:57:41,  0,+  0.34,+  26.7,+  27.0,+ 0.692,- 0.253,+ 0.942,- 0.606,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        23,2023/08/11 15:57:42,  0,+  0.03,+  26.8,+  27.0,+ 0.881,- 0.221,+ 1.157,- 0.594,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        24,2023/08/11 15:57:43,  0,+  0.49,+  26.8,+  27.0,+ 1.043,- 0.246,+ 1.381,- 0.611,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
