t,temp,hum,pres
0.00,22.00,54.00,1002.86
5.00,22.00,54.00,1002.83
10.00,20.00,57.00,1002.78
15.00,18.00,62.00,1002.78
20.00,17.00,67.00,1002.87
25.00,17.00,70.00,1002.85
30.00,17.00,73.00,1002.84
35.00,16.00,74.00,1002.81
40.00,16.00,78.00,1002.77
45.00,16.00,80.00,1002.69
50.00,16.00,79.00,1002.60
55.00,16.00,80.00,1002.45
60.00,15.00,82.00,1002.33
65.00,15.00,82.00,1002.26
70.00,15.00,84.00,1002.11
75.00,15.00,84.00,1002.19
80.00,15.00,84.00,1002.20
85.00,15.00,86.00,1002.29
90.00,15.00,88.00,1002.25
95.00,15.00,88.00,1002.19
100.00,15.00,88.00,1002.04
105.00,15.00,87.00,1001.96
110.00,15.00,87.00,1001.96
115.00,15.00,88.00,1001.97
120.00,15.00,88.00,1002.00
125.00,15.00,89.00,1001.98
130.00,15.00,88.00,1001.94
135.00,15.00,88.00,1001.89
140.00,15.00,88.00,1001.78
145.00,15.00,88.00,1001.83
150.00,15.00,87.00,1001.80
155.00,15.00,87.00,1001.73
160.00,15.00,88.00,1001.75
165.00,15.00,89.00,1001.70
170.00,15.00,89.00,1001.72
175.00,15.00,88.00,1001.69
180.00,15.00,90.00,1001.65
185.00,15.00,89.00,1001.70
190.00,15.00,89.00,1001.69
195.00,15.00,90.00,1001.69
200.00,15.00,90.00,1001.85
205.00,15.00,90.00,1001.84
210.00,15.00,89.00,1001.88
215.00,14.00,89.00,1001.89
220.00,14.00,91.00,1001.96
225.00,14.00,91.00,1002.03
230.00,14.00,91.00,1002.04
235.00,14.00,91.00,1002.10
240.00,14.00,91.00,1002.18
245.00,14.00,88.00,1002.18
250.00,16.00,91.00,1002.17
255.00,17.00,83.00,1002.11
260.00,18.00,79.00,1002.15
265.00,18.00,76.00,1002.16
270.00,18.00,75.00,1002.16
275.00,18.00,72.00,1002.21
280.00,18.00,70.00,1002.25
285.00,18.00,68.00,1002.36
290.00,18.00,67.00,1002.33
295.00,18.00,65.00,1002.33
300.00,18.00,64.00,1002.41
305.00,18.00,64.00,1002.47
310.00,18.00,64.00,1002.41
315.00,18.00,63.00,1002.43
320.00,18.00,62.00,1002.57
325.00,18.00,61.00,1002.65
330.00,18.00,60.00,1002.60
335.00,18.00,58.00,1002.63
340.00,19.00,56.00,1002.66
345.00,19.00,53.00,1002.65
350.00,19.00,55.00,1002.62
355.00,18.00,54.00,1002.61
360.00,18.00,56.00,1002.67
365.00,18.00,55.00,1002.71
370.00,19.00,53.00,1002.67
375.00,19.00,53.00,1002.55
380.00,19.00,51.00,1002.58
385.00,19.00,52.00,1002.65
390.00,19.00,52.00,1002.67
395.00,19.00,50.00,1002.58
400.00,21.00,48.00,1002.62
405.00,21.00,47.00,1002.69
410.00,21.00,45.00,1002.71
415.00,21.00,45.00,1002.77
420.00,21.00,44.00,1002.68
425.00,22.00,43.00,1002.68
430.00,23.00,38.00,1002.64
435.00,23.00,38.00,1002.64
440.00,22.00,40.00,1002.63
445.00,22.00,42.00,1002.58
450.00,23.00,40.00,1002.33
455.00,25.00,33.00,1002.20
460.00,27.00,31.00,1002.07
465.00,27.00,31.00,1002.05
470.00,26.00,30.00,1001.91
475.00,23.00,34.00,1001.85
480.00,22.00,36.00,1001.83
485.00,23.00,35.00,1001.69
490.00,22.00,34.00,1001.67
495.00,22.00,35.00,1001.67
500.00,22.00,34.00,1001.60
505.00,23.00,34.00,1001.58
510.00,22.00,33.00,1001.55
515.00,22.00,33.00,1001.37
520.00,21.00,32.00,1001.39
525.00,21.00,32.00,1001.33
530.00,21.00,33.00,1001.26
535.00,21.00,34.00,1001.17
540.00,21.00,35.00,1001.12
545.00,21.00,34.00,1001.13
550.00,21.00,32.00,1001.13
555.00,22.00,33.00,1001.16
560.00,22.00,33.00,1001.26
565.00,21.00,32.00,1001.32
570.00,21.00,32.00,1001.37
575.00,22.00,34.00,1001.34
580.00,22.00,34.00,1001.25
585.00,22.00,34.00,1001.27
590.00,22.00,33.00,1001.27
595.00,23.00,32.00,1001.21
