t,ax,ay,az,gx,gy,gz
0.1,8868,8160,-12468,548,-190,59
0.2,8800,8240,-12356,540,-147,64
0.3,8868,8188,-12448,566,-183,31
0.4,8940,8180,-12440,559,-162,79
0.5,8872,8168,-12452,534,-155,39
0.6,8888,8216,-12352,559,-187,85
0.7,8836,8184,-12424,543,-147,27
0.8,8832,8144,-12476,535,-160,46
0.9,8944,8228,-12476,519,-147,28
1,8848,8180,-12392,526,-180,54
1.1,8912,8212,-12468,569,-151,46
1.2,8868,8164,-12364,564,-167,64
1.3,8860,8112,-12468,557,-143,47
1.4,8868,8228,-12312,552,-163,55
1.5,8900,8260,-12432,507,-125,44
1.6,8864,8184,-12388,537,-136,48
1.7,8956,8260,-12340,500,-111,29
1.8,8836,8200,-12472,487,-146,37
1.9,8900,8164,-12472,520,-146,17
2,8832,8240,-12360,539,-109,50
2.1,8880,8196,-12472,557,-159,52
2.2,8884,8176,-12448,527,-133,55
2.3,8884,8180,-12368,555,-180,58
2.4,8876,8248,-12380,525,-148,31
2.5,8832,8228,-12404,552,-130,43
2.6,8892,8164,-12524,554,-165,36
2.7,8840,8164,-12344,532,-147,34
2.8,8848,8296,-12368,555,-123,22
2.9,8920,8160,-12376,535,-152,46
3,8856,8216,-12404,529,-177,47
3.1,8852,8204,-12476,522,-113,45
3.2,8916,8252,-12424,560,-155,65
3.3,8848,8176,-12436,565,-173,74
3.4,8848,8124,-12440,564,-181,60
3.5,8904,8188,-12464,559,-175,54
3.6,8928,8188,-12448,562,-177,28
3.7,8840,8164,-12364,615,-189,84
3.8,8752,8188,-12372,578,-174,40
3.9,8900,8172,-12436,583,-182,40
4,8892,8256,-12412,534,-110,50
4.1,8904,8236,-12404,564,-157,62
4.2,8808,8200,-12464,548,-156,43
4.3,8872,8232,-12448,559,-150,62
4.4,8900,8120,-12388,611,-246,42
4.5,8876,8240,-12432,568,-185,34
4.6,8892,8168,-12528,510,-92,37
4.7,8852,8272,-12500,530,-163,49
4.8,8868,8252,-12528,550,-148,42
4.9,8872,8256,-12548,464,-96,14
5,8864,8216,-12512,558,-137,56
5.1,8936,8276,-12544,541,-128,49
5.2,8856,8256,-12348,541,-167,39
5.3,8968,8212,-12572,530,-108,8
5.4,8868,8300,-12440,551,-148,47
5.5,8872,8164,-12508,552,-117,41
5.6,8944,8320,-12396,538,-173,50
5.7,8908,8196,-12524,520,-138,49
5.8,8864,8224,-12452,551,-215,65
5.9,8852,8188,-12384,533,-180,30
6,8884,8172,-12416,538,-160,50
6.1,8900,8256,-12360,472,-47,28
6.2,8864,8160,-12368,525,-151,36
6.3,8892,8256,-12432,568,-159,24
6.4,8844,8292,-12396,560,-140,62
6.5,8904,8208,-12520,557,-169,47
6.6,8904,8256,-12468,533,-201,65
6.7,8884,8220,-12452,564,-219,31
6.8,8864,8084,-12456,573,-172,27
6.9,8868,8272,-12348,566,-125,22
7,8828,8140,-12352,524,-181,64
7.1,8876,8204,-12340,571,-185,49
7.2,8892,8208,-12412,577,-209,56
7.3,8920,8168,-12308,514,-79,44
7.4,8936,8216,-12296,553,-147,34
7.5,8864,8196,-12404,550,-146,37
7.6,8856,8168,-12428,509,-118,47
7.7,8868,8184,-12520,528,-146,38
7.8,8944,8232,-12580,539,-153,53
7.9,8940,8216,-12448,544,-161,20
8,8904,8220,-12368,560,-161,48
8.1,8968,8188,-12376,534,-131,48
8.2,8872,8360,-12360,550,-159,47
8.3,8888,8076,-12464,466,-122,39
8.4,8908,8224,-12492,513,-101,40
8.5,8880,8180,-12364,651,-258,43
8.6,8856,8252,-12508,550,-172,57
8.7,8840,8268,-12608,550,-134,60
8.8,8956,8212,-12492,554,-147,60
8.9,8832,8252,-12344,525,-140,64
9,8936,8192,-12412,514,-114,53
