t,ax,ay,az,gx,gy,gz
0.10,816,-3248,-12340,5313,-7476,2821
0.20,636,448,-15860,-3117,-9965,-9087
0.30,6648,6320,-22356,-2926,-7419,-10829
0.40,4560,7224,-20664,-3640,9381,4093
0.50,2472,1872,-16612,5729,9916,6484
0.60,4280,2440,-10576,-12603,14771,-3958
0.70,5164,3712,-11484,3904,-8657,-5319
0.80,6632,6372,-19376,11885,-11268,2010
0.90,4900,6616,-15068,-15888,9438,-9449
1.00,3760,7992,-11684,2004,1047,4952
1.10,2480,3516,-14444,3908,-10213,-559
1.20,4920,7720,-20832,5459,-8698,-3047
1.30,4916,8400,-19672,-6710,5763,1995
1.40,3924,6640,-14984,-7785,9720,1243
1.50,3708,8852,-11444,-14958,4309,-680
1.60,1420,11340,-13984,-16415,-734,-4273
1.70,3076,10348,-17580,2828,-2447,5227
1.80,2008,11164,-11912,-13551,12524,-5778
1.90,5876,13476,-3680,-8574,-447,-2937
2.00,7436,4316,-20124,10311,-19667,-1701
2.10,9572,13136,-23604,-2296,3252,722
2.20,8216,2176,-21520,9784,8141,13091
2.30,6352,1396,-13800,-787,14146,4156
2.40,5044,600,-11300,1426,2856,2202
2.50,5152,1860,-15896,7790,-4595,-1216
2.60,5988,2856,-13556,-2864,8943,-4355
2.70,6304,9220,-5720,-5329,2843,-10274
2.80,8832,12472,-11696,17022,-15443,1805
2.90,5796,13796,-17592,-7530,1270,-11696
3.00,7556,19952,-12740,14795,-7007,9905
3.10,192,4780,-19404,9717,11418,-127
3.20,776,19372,-3668,-14921,17064,-8408
3.30,-1452,12772,-4208,11461,-4187,13604
3.40,-224,8732,-10964,-3792,-9312,-2506
3.50,3164,9124,-16732,337,-11992,232
3.60,3536,9452,-19748,-17626,4683,-13808
3.70,4516,15528,-5736,-12904,9688,-1978
3.80,6168,12320,-10564,-5607,-11442,-8235
3.90,13008,7328,-23088,6982,-13946,544
4.00,9904,14172,-24956,-8976,3903,-4905
4.10,5364,7280,-19640,10014,15762,17991
4.20,4384,300,-9804,3960,9810,13822
4.30,4900,-1000,-10604,2661,-21,10433
4.40,7476,-5084,-12116,7797,-4009,7559
4.50,8884,-7324,-15968,11305,-2907,603
4.60,8296,3340,-13348,6919,-961,-12949
4.70,14760,8112,-14032,-2360,-13007,-17546
4.80,7328,16316,-24524,-11905,-1757,-17857
4.90,944,28868,-8456,-17,17246,-3177
5.00,-744,17076,-9312,28433,-8339,22414
5.10,-2452,6316,-14784,-4368,10429,-1616
5.20,-180,20292,-2952,-4440,5164,-958
5.30,-768,11308,-7144,10521,-4437,14585
5.40,460,5188,-11700,-2202,-6573,1775
5.50,128,8768,-14160,-9239,-6426,-5673
5.60,1004,14896,-13616,-9065,975,-11532
5.70,6744,16040,-11024,-21,-10007,3860
5.80,3392,13416,-14740,-12994,-7140,-11206
5.90,9080,19256,-21148,-233,-9102,3210
6.00,10884,10608,-22496,10678,-2210,16801
6.10,5484,-1652,-22708,501,14141,15760
6.20,6176,604,-8856,2739,14443,13853
6.30,5948,-2808,-8100,2865,1871,9648
6.40,7604,-4684,-9740,3971,-829,7756
6.50,7728,-3272,-12992,7634,-10092,652
6.60,7872,-5052,-17816,4472,-3450,-7385
6.70,10856,4836,-15252,7870,-5059,-13116
6.80,10780,11700,-22128,-2912,-6527,-17711
6.90,10772,20548,-20192,6368,-819,-7533
7.00,2944,11888,-23264,-3498,15046,-2730
7.10,140,21156,-3308,-7539,26696,-14302
7.20,-668,15396,-6612,10156,6309,7619
7.30,-960,13184,-5532,-5294,6020,1943
7.40,-1540,11016,-5592,1815,319,9845
7.50,-2284,7724,-7656,3033,-3486,2848
7.60,1108,11004,-8304,-4410,-6676,876
7.70,-1632,7912,-11900,-1941,-17159,377
7.80,2836,15616,-17956,-9091,-14726,-14285
7.90,7720,17172,-16164,-2620,-9183,10763
8.00,5372,13364,-14948,-10271,-9988,-888
8.10,9828,7588,-25180,6188,-27300,14047
8.20,6944,6844,-32024,-32768,24523,-4008
8.30,3832,10876,-12820,-4690,20311,16853
8.40,5136,-1272,-10376,5907,7789,20965
8.50,3444,-2708,-7476,-8668,10802,5273
8.60,3992,-3908,-9080,7056,-971,3707
8.70,8960,-3432,-8820,2201,-6488,-2397
8.80,11576,-3496,-19764,10279,-18633,-6482
8.90,11916,3216,-26096,-5005,392,-22252
9.00,11444,16184,-20396,3694,1755,-10657
9.10,8344,9372,-27080,6139,9429,-5471
9.20,6128,11892,-13304,9539,25318,-4359
9.30,2100,16232,-5544,11822,6534,2536
9.40,-2860,16400,-8220,4934,3164,-2935
9.50,-912,16628,-7172,580,3063,2124
9.60,-1172,13280,-6808,5496,-17,9143
9.70,-1176,10236,-6516,-766,2923,1813
9.80,1224,11856,-5292,-1702,-2101,975
9.90,-88,12556,-4776,811,-8885,327
10.00,2432,15884,-10372,-6476,-19353,-6876
