t,ax,ay,az,gx,gy,gz
0.10,6156,12772,-10216,-1517,-7546,-6457
0.20,6848,18520,-19404,12836,-8609,5017
0.30,2084,7048,-17100,15975,5362,15950
0.40,7532,6108,-14436,23162,4677,19559
0.50,8496,-15156,-32768,32767,10301,32767
0.60,8120,-4856,116,27621,-12849,32767
0.70,7292,-10480,-15216,-19086,-4552,1028
0.80,3948,2180,-13808,-26968,-17741,-16251
0.90,11812,6272,-26828,-20592,-19444,-15674
1.00,11028,7756,-22336,1115,-16506,751
1.10,9636,5828,-18504,15883,-15165,14384
1.20,10968,1644,-19608,22661,-11259,22324
1.30,6360,-4584,-14200,15009,-8165,17420
1.40,4736,-5652,-10280,833,-7088,6235
1.50,5308,-4276,-11796,-11147,-5491,-4017
1.60,7804,-392,-15492,-18392,-3095,-10494
1.70,8584,3388,-16540,-14605,560,-7387
1.80,8884,4972,-16712,-5042,4413,1546
1.90,8972,5788,-18324,6444,8248,11881
2.00,8208,3736,-18612,15709,12057,19242
2.10,7116,-1296,-17296,17010,15411,18786
2.20,6372,-5236,-15632,7125,16388,9136
2.30,6756,-5084,-15020,-5922,15872,-1620
2.40,9564,-1380,-19192,-14219,15491,-7272
2.50,11520,3752,-23772,-9566,15650,-2696
2.60,9468,4636,-20172,2814,16693,7493
2.70,8572,3212,-19364,13063,15934,14582
2.80,7252,-688,-17780,15845,15225,15008
2.90,5324,-3948,-12544,8532,13071,8001
3.00,5008,-3952,-9616,-1919,9835,48
3.10,5492,-2520,-10072,-9702,5161,-5410
3.20,6916,16,-12848,-12774,1541,-7478
3.30,7256,2016,-13408,-9560,-318,-5035
3.40,7048,2552,-12964,-2718,-3191,107
3.50,7128,1952,-13196,3735,-6010,4991
3.60,7668,-20,-14960,6564,-8054,7512
3.70,7124,-2616,-14260,3194,-10128,5336
3.80,6288,-3816,-13360,-5512,-13092,-1153
3.90,6940,-2516,-15792,-14140,-15374,-8625
4.00,9192,1040,-20832,-15881,-16665,-11880
4.10,9944,3420,-21232,-8492,-16164,-7638
4.20,10276,2944,-20928,835,-15529,-621
4.30,9996,596,-20068,6138,-13785,3795
4.40,8332,-2048,-16976,4761,-12905,2787
4.50,7432,-3056,-15704,-1297,-11982,-2479
4.60,7316,-1588,-15468,-7052,-10454,-8058
4.70,8012,780,-16208,-7863,-7903,-9560
4.80,8456,2592,-16520,-3845,-4478,-6534
4.90,8360,3116,-15844,2675,-891,-844
5.00,8336,2652,-15960,8463,2449,4244
5.10,8096,1224,-16176,12168,5561,7155
5.20,7272,-792,-15304,11878,8046,6428
5.30,7212,-2312,-15440,7698,9868,2355
5.40,7740,-2376,-16364,1923,11353,-2685
5.50,8868,-712,-18344,-1842,12893,-5575
5.60,9932,1504,-20512,-285,14689,-3943
5.70,9868,2428,-21016,5232,16230,642
5.80,9180,1608,-20208,10436,16893,4328
5.90,8308,-608,-18748,11813,16578,4420
6.00,7248,-2464,-16392,7877,15314,602
6.10,6936,-2612,-14900,1671,13194,-4351
6.20,7252,-1180,-14620,-3183,10777,-7768
6.30,7420,412,-14480,-3774,8543,-7806
6.40,7160,1324,-13736,-915,6323,-5395
6.50,6844,1308,-12732,3157,3631,-2378
6.60,6584,544,-12120,6104,438,-244
6.70,6552,-504,-12052,6380,-2621,-100
6.80,6220,-1484,-11876,3937,-5955,-1937
6.90,6128,-1748,-12344,-262,-9761,-5164
7.00,6864,-912,-14616,-3454,-12842,-7959
7.10,8172,652,-17300,-3141,-14339,-8269
7.20,8988,1752,-18760,1054,-15354,-5377
7.30,9640,1536,-19568,6483,-15821,-1065
7.40,9700,192,-19572,9482,-15968,1810
7.50,9096,-1404,-18744,8367,-15765,1425
7.60,8572,-2032,-17876,4221,-15538,-1558
7.70,8684,-1016,-18196,611,-14343,-4563
7.80,8900,456,-18156,159,-12329,-4965
7.90,9040,1508,-17744,2481,-9757,-2896
8.00,8712,1448,-16700,5742,-6797,259
8.10,8136,788,-15684,7728,-4019,2479
8.20,7612,-196,-14916,7606,-1337,2870
8.30,7232,-1144,-14136,5303,1289,1183
8.40,7116,-1420,-14140,1650,3654,-1659
8.50,7552,-1040,-15168,-1906,6085,-4325
8.60,8228,-40,-16292,-3704,8492,-5275
8.70,8872,808,-17624,-3067,10753,-4114
8.80,9124,1020,-18700,-748,12844,-1759
8.90,9012,240,-18904,1096,14420,47
9.00,8836,-752,-18848,822,15104,-170
9.10,8508,-1628,-18172,-1759,15259,-2138
9.20,8484,-1560,-17700,-5578,14602,-4860
9.30,8700,-508,-17716,-7620,13673,-5838
9.40,8680,504,-17356,-6581,12528,-4623
9.50,8172,884,-16396,-3609,11067,-2085
9.60,7656,484,-15156,-768,9209,51
9.70,7088,-140,-13728,527,7096,842
9.80,6588,-548,-12600,331,4490,448
9.90,6292,-852,-11756,-883,1696,-602
10.00,6200,-724,-11708,-2274,-1505,-1863
10.10,6688,-68,-12656,-2666,-4781,-2435
10.20,7224,552,-13800,-1237,-7367,-1585
10.30,7620,1012,-14776,1683,-9633,383
10.40,8072,760,-16076,4697,-11490,2655
10.50,8436,92,-16676,6474,-12872,4173
10.60,8452,-764,-17112,6190,-14013,4169
10.70,8520,-1344,-17724,4155,-14955,2750
10.80,8840,-924,-18624,2038,-15347,1095
10.90,9224,-160,-19192,1633,-14940,661
11.00,9444,556,-19080,2937,-13982,1752
11.10,9412,680,-18660,4835,-12448,3562
11.20,8896,164,-17488,5858,-10706,4891
11.30,8324,-396,-16268,5255,-8666,4842
11.40,7868,-860,-15444,3397,-6510,3665
11.50,7588,-776,-14920,1135,-4295,2018
11.60,7620,-304,-14856,-599,-1826,859
11.70,7764,108,-15156,-1161,782,605
11.80,8024,584,-15520,-762,3336,1293
11.90,8136,636,-15980,226,5862,2304
12.00,8124,340,-16472,1090,8196,3219
12.10,8196,-268,-16876,1189,10333,3346
12.20,8244,-820,-17412,39,12054,2362
12.30,8460,-1072,-17868,-1754,13286,782
12.40,8784,-888,-18356,-3543,14202,-563
12.50,9064,-192,-19000,-4002,14743,-793
12.60,9088,284,-18920,-2813,14905,202
12.70,8792,256,-18504,-1181,14588,1467
12.80,8228,-296,-17452,-118,13828,2097
12.90,7696,-780,-16172,-304,12418,1635
13.00,7264,-960,-14828,-1463,10503,454
13.10,7008,-744,-13800,-2804,8059,-668
13.20,6900,-300,-13136,-3327,5394,-1200
13.30,6800,28,-12756,-2782,2619,-972
13.40,6704,268,-12540,-1584,-104,-266
13.50,6816,176,-12732,-225,-2879,500
13.60,5780,9708,-15856,4404,-2398,986
13.70,6852,-164,-13600,3960,-7931,-1986
13.80,7424,-1020,-15400,2321,-10520,-2983
13.90,7744,-532,-15464,996,-12547,-4497
14.00,8284,60,-17560,1027,-14005,-4845
14.10,9044,576,-18892,2731,-14660,-3834
14.20,9324,596,-19096,5429,-14745,-1809
14.30,9380,168,-18920,7405,-14515,-120
14.40,9212,-608,-18552,7595,-13762,233
14.50,8756,-964,-17664,6223,-12849,-631
14.60,8684,-856,-17464,4291,-11434,-2047
14.70,8432,-304,-16768,3108,-9465,-2866
14.80,8396,348,-16536,3192,-7137,-2495
14.90,8280,568,-15856,4119,-4550,-1401
15.00,8048,472,-15340,4911,-1943,-326
