t,ax,ay,az,gx,gy,gz
0.10,12392,-2800,-17092,7901,-12768,7730
0.20,12488,-2592,-16916,7454,-12608,7843
0.30,12204,-2576,-16684,7106,-11836,8122
0.40,11680,-2812,-15876,6044,-10800,7844
0.50,11072,-2700,-15044,4279,-9429,6901
0.60,10428,-2420,-14320,2612,-7868,5888
0.70,10008,-2348,-13816,1188,-5742,4872
0.80,9652,-2240,-13200,-117,-3524,3935
0.90,9388,-2264,-13132,-1522,-1043,2654
1.00,9408,-2428,-13088,-3200,1360,1169
1.10,9708,-2272,-13688,-4612,3740,-94
1.20,10120,-2220,-14436,-5253,6318,-691
1.30,10644,-2424,-15160,-5448,8799,-942
1.40,11176,-2788,-15840,-5817,11017,-1332
1.50,11624,-3148,-16380,-6388,12769,-1867
1.60,12056,-3096,-17180,-6571,14224,-2125
1.70,12132,-2960,-17416,-5992,15057,-1552
1.80,11932,-3020,-16948,-5031,15523,-938
1.90,11472,-3376,-15880,-5330,14932,-1147
2.00,11004,-2716,-15000,-6010,13491,-1418
2.10,10548,-1868,-14340,-5213,11914,-684
2.20,9996,-1448,-13468,-3339,10110,707
2.30,9288,-1452,-12220,-1665,8047,1980
2.40,8740,-1628,-10988,-663,5428,2769
2.50,8524,-1648,-10364,-656,2322,2874
2.60,8520,-1584,-10272,-697,-901,2941
2.70,8808,-1592,-10872,-363,-3942,3279
2.80,9188,-1672,-11676,324,-6584,3868
2.90,9536,-1984,-12264,832,-9099,4255
3.00,10072,-2516,-13276,705,-11343,4027
3.10,10636,-2708,-14424,-65,-13467,3325
3.20,11236,-2604,-15612,-170,-14923,2758
3.30,11752,-2500,-16732,449,-15596,2704
3.40,11936,-2576,-16972,1199,-15664,2753
3.50,11812,-2736,-16632,1371,-15227,2377
3.60,11700,-2656,-16652,1202,-14383,1652
3.70,11300,-2280,-16168,1339,-12895,1216
3.80,10880,-2256,-15644,1653,-10870,1016
3.90,10328,-2256,-14648,1588,-8470,425
4.00,9936,-2208,-14024,1111,-6160,-381
4.10,9736,-2024,-13608,477,-3484,-1339
4.20,9712,-1840,-13760,154,-830,-1999
4.30,9800,-1720,-13912,164,2050,-2434
4.40,10012,-1676,-14292,487,4760,-2601
4.50,10296,-1852,-14908,851,7517,-2641
4.60,10664,-2096,-15328,1144,9839,-2825
4.70,10992,-2440,-15988,1231,11878,-3150
4.80,11448,-2768,-16176,928,13307,-3636
4.90,11624,-3036,-16576,355,14132,-4318
5.00,11676,-3020,-16556,-120,14474,-4759
5.10,11596,-3060,-16276,-345,14317,-4946
5.20,11316,-2804,-15628,-510,13581,-5087
5.30,10856,-2512,-14836,-577,12315,-4996
5.40,10300,-2144,-13896,-251,10668,-4647
5.50,9800,-1836,-12912,525,8690,-4038
5.60,9324,-1524,-11976,1209,6446,-3335
5.70,8900,-1572,-11148,1719,3831,-2769
5.80,8676,-1476,-10672,2107,950,-2306
5.90,8760,-1460,-10708,2475,-1985,-1861
6.00,9036,-1364,-11296,3145,-4761,-1174
6.10,9440,-1436,-11944,4202,-7297,-299
6.20,9976,-1632,-12996,5275,-9339,682
6.30,10396,-1884,-13880,6164,-11058,1438
6.40,11008,-2252,-14856,6707,-12564,1967
6.50,11540,-2380,-15744,7050,-13491,2345
6.60,11928,-2484,-16520,7390,-13820,2749
6.70,12056,-2424,-16696,7544,-13688,3097
6.80,11976,-2444,-16516,7368,-13009,3236
6.90,11708,-2508,-16112,6817,-11969,2996
7.00,11280,-2432,-15532,6087,-10461,2638
7.10,10780,-2296,-15028,5442,-8653,2227
7.20,10384,-2192,-14224,4522,-6622,1658
7.30,9980,-2292,-13736,3387,-4426,745
7.40,9692,-2280,-13272,2064,-2338,-321
7.50,9652,-2252,-13328,734,-44,-1445
7.60,9816,-2232,-13464,-436,2033,-2438
7.70,10024,-2324,-13820,-1450,4230,-3243
7.80,10400,-2516,-14356,-2417,6376,-3988
7.90,10888,-2656,-15036,-3431,8228,-4689
8.00,11228,-2772,-15588,-4345,9777,-5260
8.10,11660,-2824,-16196,-5033,10926,-5524
8.20,11880,-2880,-16388,-5221,11886,-5326
8.30,11832,-3080,-16248,-5433,12113,-5003
8.40,11552,-2992,-15628,-5717,11900,-4835
8.50,11164,-2676,-14964,-5933,11162,-4639
8.60,10740,-2200,-14452,-5475,9993,-3893
8.70,10220,-1836,-13564,-4467,8490,-2890
8.80,9672,-1540,-12500,-3370,6649,-1848
8.90,9280,-1344,-11752,-2368,4483,-872
9.00,9004,-1236,-11288,-1355,2060,8
9.10,8952,-1136,-11260,-296,-206,987
9.20,9044,-1068,-11468,965,-2482,2023
9.30,9408,-1160,-11960,2353,-4659,3127
9.40,9768,-1340,-12560,3594,-6740,4219
9.50,10196,-1728,-13256,4336,-8632,4956
9.60,10624,-2048,-14016,4555,-10299,5311
9.70,11164,-2292,-14880,4514,-11649,5440
9.80,11492,-2396,-15668,4411,-12453,5556
9.90,11760,-2528,-16048,4271,-12756,5594
10.00,11800,-2540,-16108,3882,-12523,5470
10.10,11584,-2472,-16188,3347,-11856,5225
10.20,11336,-2204,-15712,3001,-10702,5003
10.30,10900,-2120,-15276,2816,-9007,4855
10.40,10576,-2172,-14560,2292,-7087,4467
10.50,10080,-2336,-13940,1245,-5027,3574
10.60,9816,-2296,-13552,-4,-2919,2442
10.70,9800,-2212,-13496,-1049,-700,1407
10.80,9852,-2216,-13616,-1920,1623,537
10.90,10016,-2136,-13960,-2483,3933,-189
11.00,10248,-2068,-14396,-2962,6213,-700
11.10,10632,-2192,-15140,-3133,8388,-990
11.20,11044,-2224,-15580,-3082,10371,-1105
11.30,11392,-2432,-16148,-2882,12009,-1090
11.40,11524,-2652,-16372,-2762,13107,-1119
11.50,11512,-2824,-16128,-2721,13601,-1212
11.60,11360,-2628,-16008,-2648,13585,-1144
11.70,11100,-2716,-15484,-2241,13056,-869
11.80,10692,-2644,-14488,-2333,11850,-852
11.90,10220,-2440,-13488,-2449,10133,-948
12.00,9812,-1868,-12812,-2245,8104,-616
12.10,9480,-1616,-12132,-1509,6006,0
12.20,9096,-1460,-11560,-781,3873,680
12.30,8924,-1536,-11092,-134,1466,1246
12.40,8944,-1660,-11096,37,-1196,1501
12.50,9132,-1656,-11368,262,-3726,1749
12.60,9420,-1716,-11844,668,-6093,2105
12.70,9848,-1972,-12692,1213,-8164,2529
12.80,10192,-2316,-13392,1472,-10058,2681
12.90,10664,-2560,-14148,1158,-11768,2351
13.00,11064,-2640,-14968,810,-13090,1858
13.10,11356,-2464,-15880,925,-13725,1601
13.20,11536,-2352,-16372,1430,-13798,1596
13.30,11512,-2388,-16288,1817,-13264,1558
13.40,11312,-2352,-16052,2025,-12357,1283
13.50,11128,-2204,-15556,2137,-10959,1065
13.60,10792,-2012,-15144,2443,-9100,898
13.70,10420,-2048,-14576,2440,-7097,652
13.80,10144,-2176,-14068,2134,-4951,3
13.90,9908,-2188,-13668,1514,-2866,-751
14.00,9844,-2036,-13816,997,-436,-1518
14.10,9952,-2012,-13872,667,1859,-2057
14.20,10084,-1840,-14232,595,4213,-2454
14.30,10364,-2020,-14616,625,6452,-2680
14.40,10656,-2132,-15072,648,8502,-2920
14.50,10892,-2312,-15576,535,10103,-3227
14.60,11168,-2532,-15804,364,11429,-3504
14.70,11376,-2848,-15924,97,12235,-3840
14.80,11372,-2792,-15904,-251,12551,-4112
14.90,11356,-2748,-15584,-588,12347,-4334
15.00,10996,-2684,-15024,-957,11688,-4429
15.10,10644,-2476,-14284,-1139,10521,-4444
15.20,10320,-2148,-13736,-903,9044,-4070
15.30,9852,-1780,-12988,-352,7310,-3478
15.40,9464,-1684,-12104,313,5287,-2828
15.50,9076,-1584,-11516,816,3073,-2276
15.60,8992,-1500,-11312,1227,636,-1753
15.70,9116,-1436,-11368,1700,-1750,-1220
15.80,9300,-1456,-11864,2439,-4204,-546
